"Source","Target","Weight"
"يقويكي","ينتقم","0.61248"
"يقويكي","يبارك","0.62724"
"يقويكي","يصبرك","0.69322"
"يقويكي","يهديك","0.66098"
"يقويكي","يحميك","0.66418"
"بتخاف","بتفهم","0.64521"
"بتخاف","بتحبك","0.56123"
"نشكرك","مهل","0.58082"
"نشكرك","احييك","0.64377"
"نشكرك","يتطاول","0.65136"
"نشكرك","استيلاء","0.55666"
"نشكرك","تتطاول","0.56842"
"نشكرك","اعترض","0.55470"
"يحمي","يمهل و لا يهمل","0.57685"
"يحمي","يحيك","0.56581"
"يحمي","يحفظ","0.68839"
"يحمي","يكرمك","0.59143"
"يحمي","ينصرهم","0.63697"
"يحمي","حفظ","0.62038"
"يحمي","يعزك","0.59032"
"يحمي","يحرسك","0.55911"
"يحمي","ياخدك","0.55847"
"يحمي","يرحمه","0.61150"
"يحمي","رحم","0.55607"
"يحمي","اتقي","0.55101"
"يحمي","يخليك","0.60297"
"يحمي","يسامح","0.60550"
"يحمي","يهدي","0.62410"
"يحمي","ينصر","0.57983"
"يحمي","ينتقم","0.57532"
"يحمي","يصبرك","0.61697"
"يحمي","يهديك","0.56094"
"يحمي","يحميك","0.66304"
"شرموطه","كسها","0.65914"
"جنس","كس","0.55287"
"جنس","طيز","0.72557"
"جنس","سحاق","0.58193"
"الحمد الله","الحمد","0.66662"
"الحمد الله","الحمد لله","0.67363"
"يمهل و لا يهمل","يحيك","0.59279"
"يمهل و لا يهمل","ينصرهم","0.62240"
"يمهل و لا يهمل","يعزك","0.58583"
"يمهل و لا يهمل","يحرسك","0.56339"
"يمهل و لا يهمل","يرحمك","0.55626"
"يمهل و لا يهمل","يرحمه","0.63373"
"يمهل و لا يهمل","رحم","0.59556"
"يمهل و لا يهمل","يسامح","0.62593"
"يمهل و لا يهمل","ينور","0.56194"
"يمهل و لا يهمل","يخرب بيوتكم","0.55838"
"يمهل و لا يهمل","يحميك","0.56188"
"استهبل","حلوه","0.60053"
"استهبل","معاك حق","0.62385"
"يحيك","ينصرهم","0.63246"
"يحيك","حفظ","0.55159"
"يحيك","يعزك","0.63076"
"يحيك","يحرسك","0.58516"
"يحيك","يحفظك","0.55599"
"يحيك","يرحمك","0.58683"
"يحيك","يرحمه","0.64273"
"يحيك","رحم","0.59794"
"يحيك","يخليك","0.57293"
"يحيك","يسامح","0.64335"
"يحيك","ينور","0.60841"
"يحيك","يصبرك","0.61474"
"يحيك","يحميك","0.57965"
"تتناك","بتتناك","0.57967"
"يحيه","يعزك","0.55342"
"يحيه","يسامح","0.59554"
"تعسر","عسر","0.57349"
"يحفظ","مكروه","0.65595"
"يحفظ","حفظ","0.65497"
"قله ادب","قلة ادب","0.56787"
"قله ادب","ادب","0.58767"
"مسعور","ضال","0.56387"
"بتفهم","بتحبك","0.55633"
"يكرمك","يكرمه","0.66505"
"يكرمك","يعزك","0.55362"
"يكرمك","ياخدك","0.68733"
"يكرمك","يوفقك","0.65207"
"يكرمك","يخليك","0.71636"
"يكرمك","يهدي","0.65342"
"يكرمك","يسعدك","0.71173"
"يكرمك","ربنا يكرمك","0.71235"
"يكرمك","يبارك","0.69223"
"يكرمك","يصبرك","0.65097"
"يكرمك","يهديك","0.71386"
"يكرمك","يحميك","0.64885"
"يكرمه","ياخدك","0.73646"
"يكرمه","يخليك","0.58352"
"يكرمه","يهدي","0.66077"
"يكرمه","يبارك","0.57332"
"يكرمه","يهديك","0.61527"
"الحمد","الحمد لله","0.83364"
"رائع","جميل","0.60749"
"شر البليه ما يضحك","مكروه","0.58543"
"شر البليه ما يضحك","شر","0.81089"
"يعفو","ينصرهم","0.56550"
"يعفو","يرحمه","0.60262"
"يعفو","يسامح","0.55773"
"لهوي","يا لهوي","0.75711"
"وكسه","شك","0.63934"
"يريحك","ماتوا","0.57635"
"كس","طيز","0.60815"
"يا نهار اسود","نهار اسود","0.71088"
"معندهمش","معندهمش دم","0.72773"
"مهل","يتطاول","0.59616"
"جهل","ابو جهل","0.62547"
"جهل","لهب","0.58014"
"مكروه","حفظ","0.56292"
"نبح","نباح","0.60369"
"الله ينور","ينور","0.65387"
"ينصرهم","حفظ","0.57136"
"ينصرهم","يعزك","0.59866"
"ينصرهم","يحرسك","0.61272"
"ينصرهم","يحفظك","0.56507"
"ينصرهم","يرحمك","0.57521"
"ينصرهم","يرحمه","0.64959"
"ينصرهم","يشفيك","0.59936"
"ينصرهم","رحم","0.61407"
"ينصرهم","يخليك","0.58584"
"ينصرهم","يسامح","0.63544"
"ينصرهم","ينور","0.59886"
"ينصرهم","ينصر","0.66250"
"ينصرهم","ينتقم","0.57309"
"ينصرهم","يصبرك","0.66084"
"ينصرهم","يحميك","0.62794"
"مش فاهم حاجه","كفايه","0.55700"
"مش فاهم حاجه","مش كفايه","0.95682"
"مش فاهم حاجه","طيب","0.57646"
"مش فاهم حاجه","كويس","0.56196"
"مش فاهم حاجه","مين ده","0.66517"
"حلو","صح","0.58050"
"حلو","طيب","0.56139"
"حلو","اهم","0.57088"
"حلو","حلوه","0.62455"
"حلو","كويس","0.57976"
"حلو","احسن","0.59415"
"امين","عجل","0.55584"
"حفظ","يرحمه","0.58156"
"حفظ","يسامح","0.57103"
"كفايه","مش كفايه","0.59487"
"تعور","يعور","0.74363"
"انصر","عجل","0.66656"
"انصر","فرج","0.58442"
"انصر","تنصر","0.68288"
"خف","تضحك","0.61181"
"غلبان","غلبانه","0.60961"
"مقزز","مقرف","0.59578"
"الخير","خير","0.55322"
"حق","صح","0.57417"
"حق","طيب","0.58691"
"حق","اي كلام","0.56635"
"حق","احسن","0.57253"
"مش كفايه","طيب","0.58614"
"مش كفايه","كويس","0.59501"
"مش كفايه","مين ده","0.66725"
"ابو جهل","جهل","0.62547"
"اتق الله","اتقي الله","0.62221"
"اتق الله","اتقي","0.60182"
"اتقي","ينصرك","0.58224"
"اتقي","يحمي","0.55101"
"اتقي","يرحمه","0.55505"
"اتقي","اتقي الله","0.80384"
"اتقي","يسامح","0.55547"
"اجدع","معندهاش دم","0.57420"
"احسن","حلو","0.59415"
"احسن","حق","0.57253"
"احسن","صح","0.57394"
"احسن","طيب","0.62041"
"احسن","اهم","0.59671"
"احسن","كويس","0.56260"
"احييك","اهنيك","0.68731"
"احييك","نشكرك","0.64377"
"احييك","يتطاول","0.57968"
"اخرس","اخرص","0.66612"
"ادب","قله ادب","0.58767"
"ادب","قلة ادب","0.61079"
"ارحم","ارحمنا","0.63214"
"ارحمنا","ارحمني","0.70785"
"استيلاء","نشكرك","0.55666"
"استيلاء","يتطاول","0.57585"
"اعترض","نشكرك","0.55470"
"اعترض","يتطاول","0.58443"
"الحمد لله","الحمدالله","0.73173"
"الحمد لله","الحمد الله","0.67363"
"الحمد لله","الحمد","0.83364"
"اهبل","عبيط","0.58075"
"اهم","حلو","0.57088"
"اهم","احسن","0.59671"
"اي كلام","حق","0.56635"
"اي كلام","طيب","0.59501"
"اي كلام","هي ناقصه","0.56321"
"اياكم","ينصرك","0.55128"
"1111","asdasdads","1234.00000"
"1111","adadas","2345.00000"
"بتتناك","تتناك","0.57967"
"بتحبك","بتخاف","0.56123"
"بتحبك","بتفهم","0.55633"
"تتطاول","نشكرك","0.56842"
"تتطاول","يتطاول","0.64362"
"تتقمص","يتقمص","0.66498"
"تضحك","خف","0.61181"
"تفاؤل","سعاده","0.68178"
"تنصر","انصر","0.68288"
"تنصر","تنصرهم","0.56005"
"جامد","جامد اوي","0.56680"
"حبيب","حبيب قلبي","0.55572"
"حبيب","حبيبت","0.56359"
"حبيبي","طيب","0.59125"
"حرام","عيب","0.65973"
"حلوه","استهبل","0.60053"
"حلوه","حلو","0.62455"
"حلوه","معاك حق","0.56590"
"حمد الله","حمدالله","0.59723"
"خير","الخير","0.55321"
"ربنا معاك","ربنا يوفقك","0.56148"
"ربنا يبارك","يبارك","0.68253"
"ربنا يسعدك","يسعدك","0.56041"
"ربنا يكرمك","يكرمك","0.71235"
"ربنا يكرمك","ربنا يوفقك","0.57935"
"ربنا يوفقك","يوفقك","0.66430"
"رحم","ينصرك","0.63419"
"رحم","ينصره","0.59777"
"رحم","يحمي","0.55607"
"رحم","يمهل و لا يهمل","0.59556"
"رحم","يحيك","0.59794"
"رحم","ينصرهم","0.61407"
"رحم","يعزك","0.57264"
"رحم","يحرسك","0.65299"
"رحم","يحفظك","0.57498"
"رحم","يرحمك","0.56978"
"رحم","يرحمه","0.62973"
"رحم","يخليك","0.55078"
"رحم","يسامح","0.60010"
"رحم","ينور","0.55742"
"رحم","يصبرك","0.55931"
"رحم","يحميك","0.60296"
"زعلان","طيب","0.58257"
"سحاق","جنس","0.58193"
"سحاق","طيز","0.59558"
"سفك","يسفك","0.56928"
"شر","شر البليه ما يضحك","0.81089"
"شك","وكسه","0.63934"
"صح","حلو","0.58050"
"صح","حق","0.57417"
"صح","احسن","0.57395"
"صح","طيب","0.59274"
"ضحاله","ضحاله الفكر","0.62886"
"طيب","اي كلام","0.59501"
"طيب","كويس","0.55587"
"طيب","مش فاهم حاجه","0.57643"
"طيب","حلو","0.56139"
"طيب","حق","0.58691"
"طيب","مش كفايه","0.58608"
"طيب","مين ده","0.57461"
"طيب","احسن","0.62040"
"طيز","جنس","0.72557"
"طيز","كس","0.60815"
"طيز","لحس","0.58250"
"عبيط","اهبل","0.58075"
"عجل","امين","0.55583"
"عجل","انصر","0.66656"
"عجل","فرج","0.57213"
"عسر","تعسر","0.57349"
"عيب","حرام","0.65973"
"عين العقل","مظبوط","0.56786"
"غلبانه","غلبان","0.60961"
"فرج","انصر","0.58442"
