"Source","Target","Weight"
"تطاول","نشكرك","0.71344"
"تطاول","مهل","0.73313"
"تعترض","يتطاول","0.73004"
"تعترض","نشكرك","0.74964"
"تعترض","مهل","0.74697"
"تعترض","يتحسر","0.70852"
"تعترض","نعترض","0.70501"
"تعور","يعور","0.89770"
"تفاؤل","سعاده","0.82090"
"تهنئ","يهنئ","0.71688"
"توافق","يتطاول","0.75670"
"توافق","نشكرك","0.76054"
"توافق","هواهم","0.70726"
"توافق","مهل","0.75855"
"توافق","نوافق","0.78485"
"توافق","يتحسر","0.73521"
"جنس","طيز","0.75952"
"جهل","لهب","0.71372"
"حبيبت","عور","0.73927"
"حرام","عيب","0.73582"
"حفظ","ينصرك","0.74271"
"حفظ","ينصره","0.71600"
"حفظ","يرحمه","0.70845"
"حفظ","يحمي","0.71245"
"حفظ","يمهل و لا يهمل","0.73368"
"حفظ","يحفظ","0.72351"
"حفظ","يسامح","0.71175"
"حفظ","ينصرهم","0.70760"
"حفظ","يخرب بيوتكم","0.72615"
"حلو","معفن","0.74042"
"حمد الله","حمدالله","0.77231"
"حياديه","وقاحه","0.70380"
"خربو","خربوا","0.75703"
"خف","ملعوب","0.77264"
"رحم","ينصرك","0.73613"
"رحم","ينصره","0.71456"
"رحم","يرحمه","0.71827"
"رحم","يمهل و لا يهمل","0.77160"
"رحم","يحيك","0.72977"
"رحم","ينصرهم","0.72995"
"رحم","يخرب بيوتكم","0.72738"
"رحم","يحرسك","0.77032"
"رحم","يحميك","0.70941"
"سفك","يسفك","0.80568"
"سليم","نفيس","0.70685"
"سليم","منطقي","0.71175"
"سليم","فاضي","0.72713"
"شرموطه","كسها","0.73305"
"شك","وكسه","0.86085"
"ضال","مسعور","0.73541"
"عندك حق","معك حق","0.74895"
"عندك حق","معاك حق","0.73782"
"عين العقل","مظبوط","0.73349"
"غلبان","غلبانه","0.76516"
"قاتل","ينصرك","0.71925"
"قاتل","يمهل و لا يهمل","0.70938"
"قبح","ينصرك","0.70187"
"قبح","يمهل و لا يهمل","0.70429"
"قلة ادب","قله ادب","0.85002"
"لعن","يمهل و لا يهمل","0.70840"
"لعن","يخرب بيوتكم","0.70590"
"لهوي","يا لهوي","0.72157"
"ما شاء الله","يهديك","0.70657"
"ماتو","يريحك","0.74822"
"ماتوا","يريحك","0.73386"
"مت","مفشوخ","0.74441"
"متخلفه","معندهاش دم","0.74767"
"مش فاهم حاجه","مش كفايه","0.88481"
"مش فاهم حاجه","مين ده","0.75756"
"مشكلته","معك حق","0.72199"
"معاك حق","معك حق","0.71295"
"مقرف","مقزز","0.77450"
"مهل","يشدد","0.72648"
"مهل","نوافق","0.78297"
"مهل","يعترض","0.72978"
"مهل","يتطاول","0.85724"
"مهل","نشكرك","0.86274"
"مهل","هواهم","0.77516"
"مهل","يتحسر","0.82481"
"مهل","نعترض","0.73808"
"نباح","نبح","0.76928"
"نشكرك","يشدد","0.70696"
"نشكرك","نوافق","0.79002"
"نشكرك","يعترض","0.75951"
"نشكرك","يتطاول","0.85084"
"نشكرك","هواهم","0.77635"
"نشكرك","يتحسر","0.83321"
"نشكرك","نعترض","0.79007"
"نعترض","نوافق","0.71653"
"نعترض","يتطاول","0.73274"
"نعترض","يتحسر","0.73251"
"نهار اسود","يانهار اسود","0.76171"
"نوافق","يتطاول","0.75707"
"نوافق","يتحسر","0.74689"
"هواهم","يتطاول","0.77796"
"هواهم","يتحسر","0.75812"
"ياخدك","يبارك","0.70562"
"ياخدك","يصبرك","0.70870"
"ياخدك","يهديك","0.80742"
"ياخدك","يخليك","0.77266"
"ياخدك","يهدي","0.78264"
"ياخدك","يخدك","0.80446"
"ياخدك","يقويكي","0.87287"
"ياخدك","ينتقم","0.70674"
"ياخدك","يكرمك","0.84452"
"ياخدك","يكرمه","0.90269"
"يبارك","يصبرك","0.70755"
"يبارك","يخليك","0.73780"
"يبارك","يقويكي","0.75221"
"يبارك","يكرمك","0.75424"
"يتحسر","يعترض","0.70500"
"يتحسر","يتطاول","0.81446"
"يتطاول","يشدد","0.70245"
"يتطاول","يعترض","0.76695"
"يحرسك","ينصرهم","0.71149"
"يحرسك","ينصرك","0.70844"
"يحرسك","يمهل و لا يهمل","0.71425"
"يحرسك","يسعدك","0.74774"
"يحرسك","يخليك","0.78817"
"يحرسك","يحميك","0.85844"
"يحرسك","يحفظك","0.82636"
"يحرمنا","ينتقم","0.72513"
"يحظك","يرحمه","0.70037"
"يحظك","يمهل و لا يهمل","0.71867"
"يحظك","يخرب بيوتكم","0.70491"
"يحفظ","يحمي","0.71869"
"يحفظك","يسعدك","0.71370"
"يحفظك","يخليك","0.75764"
"يحفظك","يحميك","0.78981"
"يحمي","ينصرهم","0.72911"
"يحمي","يعزك","0.72320"
"يحمي","ينصرك","0.76012"
"يحمي","ينصره","0.72568"
"يحمي","يرحمه","0.72752"
"يحمي","يصبرك","0.73959"
"يحمي","يمهل و لا يهمل","0.73593"
"يحمي","يخليك","0.70189"
"يحمي","يسامح","0.71673"
"يحمي","يهدي","0.72031"
"يحمي","يقويكي","0.79258"
"يحمي","يحميك","0.74737"
"يحمي","يكرمك","0.71604"
"يحميك","ينصرهم","0.74013"
"يحميك","ينصرك","0.75537"
"يحميك","ينصره","0.70998"
"يحميك","يصبرك","0.76677"
"يحميك","يمهل و لا يهمل","0.72013"
"يحميك","يسعدك","0.82232"
"يحميك","يخليك","0.85402"
"يحميك","يقويكي","0.79465"
"يحميك","يكرمك","0.75961"
"يحيك","ينصرهم","0.78518"
"يحيك","يعزك","0.74091"
"يحيك","يرحمك","0.72998"
"يحيك","ينصرك","0.80697"
"يحيك","ينصره","0.76365"
"يحيك","يرحمه","0.76896"
"يحيك","يصبرك","0.73354"
"يحيك","يمهل و لا يهمل","0.77684"
"يحيك","يحيه","0.70025"
"يحيك","يسامح","0.78913"
"يحيك","ينور","0.72893"
"يحيك","يخرب بيوتكم","0.75971"
"يحيه","يعزك","0.75287"
"يحيه","ينصرك","0.71109"
"يحيه","يرحمه","0.71476"
"يحيه","يمهل و لا يهمل","0.74627"
"يحيه","يسامح","0.78642"
"يحيه","يخرب بيوتكم","0.76732"
"يخدك","يكرمه","0.86292"
"يخرب بيوتكم","ينصرهم","0.74501"
"يخرب بيوتكم","يعزك","0.78371"
"يخرب بيوتكم","يرحمك","0.75551"
"يخرب بيوتكم","ينصرك","0.77345"
"يخرب بيوتكم","ينصره","0.76186"
"يخرب بيوتكم","يرحمه","0.78950"
"يخرب بيوتكم","يمهل و لا يهمل","0.81209"
"يخرب بيوتكم","يسامح","0.81196"
"يخرب بيوتكم","ينور","0.73526"
"يخرب بيوتكم","يعصي","0.70595"
"يخليك","ينصرهم","0.71666"
"يخليك","ينصرك","0.74435"
"يخليك","يصبرك","0.81649"
"يخليك","يهديك","0.77250"
"يخليك","يسعدك","0.87035"
"يخليك","يوفقك","0.73896"
"يخليك","يهدي","0.70867"
"يخليك","يقويكي","0.83891"
"يخليك","يكرمك","0.85646"
"يرحمك","ينصرهم","0.71003"
"يرحمك","يعزك","0.71611"
"يرحمك","ينصرك","0.73687"
"يرحمك","ينصره","0.71920"
"يرحمك","يرحمه","0.80807"
"يرحمك","يمهل و لا يهمل","0.75818"
"يرحمك","يسامح","0.75429"
"يرحمه","ينصرهم","0.75525"
"يرحمه","يعفو","0.70613"
"يرحمه","يعزك","0.76985"
"يرحمه","ينصرك","0.79198"
"يرحمه","ينصره","0.76841"
"يرحمه","يصبرك","0.71838"
"يرحمه","يمهل و لا يهمل","0.80217"
"يرحمه","يسامح","0.78903"
"يرحمه","ينور","0.72740"
"يرحمه","يقويكي","0.73147"
"يريحك","يلعن ابو","0.75482"
"يسامح","ينصرهم","0.77069"
"يسامح","يعزك","0.83651"
"يسامح","ينصرك","0.81101"
"يسامح","ينصره","0.77497"
"يسامح","يصبرك","0.75675"
"يسامح","يمهل و لا يهمل","0.78773"
"يسامح","ينور","0.72452"
"يسامح","يقويكي","0.71827"
"يسامح","يصبر","0.72130"
"يسعدك","يصبرك","0.72780"
"يسعدك","يوفقك","0.80410"
"يسعدك","يقويكي","0.75558"
"يسعدك","يكرمك","0.80034"
"يصبر","ينصرك","0.74318"
"يصبر","يصبرك","0.73521"
"يصبرك","ينصرهم","0.80009"
"يصبرك","يعزك","0.74092"
"يصبرك","ينصرك","0.87181"
"يصبرك","ينصره","0.77961"
"يصبرك","يمهل و لا يهمل","0.70278"
"يصبرك","يهديك","0.70988"
"يصبرك","يقويكي","0.82539"
"يصبرك","يكرمك","0.79142"
"يعزك","ينصرهم","0.74228"
"يعزك","ينصرك","0.78899"
"يعزك","ينصره","0.75853"
"يعزك","يمهل و لا يهمل","0.77632"
"يعزك","ينور","0.70343"
"يعزك","يقويكي","0.74987"
"يعصي","يمهل و لا يهمل","0.70845"
"يقويكي","ينصرهم","0.73891"
"يقويكي","ينتقم","0.74809"
"يقويكي","يهدي","0.77828"
"يقويكي","ينصرك","0.79955"
"يقويكي","ينصره","0.75752"
"يقويكي","يمهل و لا يهمل","0.75032"
"يقويكي","يهديك","0.81209"
"يقويكي","يكرمك","0.88474"
"يقويكي","يكرمه","0.80418"
"يكرمك","يهدي","0.76173"
"يكرمك","ينصرك","0.71269"
"يكرمك","يهديك","0.84202"
"يكرمك","يكرمه","0.80351"
"يكرمك","يوفقك","0.70633"
"يكرمه","يهدي","0.76655"
"يكرمه","يهديك","0.75684"
"يمهل و لا يهمل","ينصرهم","0.80333"
"يمهل و لا يهمل","ينصرك","0.81083"
"يمهل و لا يهمل","ينصره","0.80206"
"يمهل و لا يهمل","ينور","0.73787"
"ينتقم","ينصرك","0.70553"
"ينصر","ينصرهم","0.72946"
"ينصرك","ينصرهم","0.85678"
"ينصرك","ينصره","0.85632"
"ينصرك","ينور","0.72899"
"ينصره","ينصرهم","0.80499"
"ينصره","ينور","0.70626"
"ينصرهم","ينور","0.71102"
"يهدي","يهديك","0.72840"
