"Source","Target","Weight"
"اهنيك","يتطاول","0.53579"
"اهنيك","حلوه","0.39031"
"اهنيك","اي كلام","0.31381"
"اهنيك","سلامتك","0.42223"
"اهنيك","قدرته","0.35271"
"اهنيك","افضل","0.31101"
"اهنيك","يوفقك","0.31214"
"اهنيك","ابداع","0.31599"
"اهنيك","تشكر","0.40654"
"اهنيك","تجبر","0.40192"
"اهنيك","قيد","0.32959"
"اهنيك","صراحه","0.39293"
"اهنيك","قادر","0.44739"
"اهنيك","تتريق","0.43573"
"اهنيك","استهبال","0.30094"
"اهنيك","نشكر","0.31990"
"اهنيك","هواهم","0.46853"
"اهنيك","خايف","0.31842"
"اهنيك","تسلم ايدك","0.49232"
"اهنيك","قدر","0.40849"
"اهنيك","عيب","0.35039"
"اهنيك","اعتراض","0.34105"
"اهنيك","خطير","0.32584"
"اهنيك","واضح","0.34271"
"اهنيك","سلام","0.33516"
"اهنيك","تسلمي","0.34138"
"اهنيك","يشدد","0.42267"
"اهنيك","يشرف","0.31745"
"اهنيك","نوافق","0.41058"
"اهنيك","مميز","0.31344"
"اهنيك","احيك","0.46843"
"اهنيك","توافق","0.40916"
"اهنيك","معاناه","0.30883"
"اهنيك","يعترض","0.43708"
"اهنيك","تحفز","0.33510"
"اهنيك","تحفه","0.33427"
"اهنيك","يشكر","0.35141"
"اهنيك","هجوم","0.34611"
"اهنيك","استيلاء","0.46513"
"اهنيك","تعترض","0.41541"
"اهنيك","محرض","0.35212"
"اهنيك","متحامل","0.44207"
"اهنيك","الحياد","0.33240"
"اهنيك","حرام","0.34627"
"اهنيك","تتطاول","0.47891"
"اهنيك","تفو","0.37179"
"اهنيك","ماشاء الله","0.43130"
"اهنيك","احسن","0.35115"
"اهنيك","دمه خفيف","0.30146"
"اهنيك","يصبرك","0.40829"
"اهنيك","يهديك","0.31575"
"اهنيك","انتصر","0.33398"
"اهنيك","اعترض","0.51377"
"اهنيك","شكرا","0.51770"
"اهنيك","اقدر","0.30454"
"اهنيك","معاك حق","0.34568"
"اهنيك","نعترض","0.44901"
"اهنيك","يتفق","0.32468"
"اقصاء","ضد","0.30286"
"يغلط","حق","0.31010"
"يغلط","يتطاول","0.33146"
"يغلط","اي كلام","0.30126"
"يغلط","تتريق","0.32080"
"يغلط","يسب","0.30140"
"يغلط","يخش","0.31285"
"يغلط","يعترض","0.30513"
"فوضوي","مسالم","0.32359"
"نقط","طيب","0.30514"
"جدع","بتفهم","0.33426"
"جدع","يكرمك","0.33572"
"جدع","مش فاهم حاجه","0.39485"
"جدع","كفايه","0.31406"
"جدع","غلبان","0.30277"
"جدع","مش كفايه","0.42091"
"جدع","معلش","0.32763"
"جدع","اهبل","0.33480"
"جدع","برنس","0.31259"
"جدع","مكسوف","0.33190"
"جدع","طيب","0.31946"
"جدع","محترم","0.32889"
"جدع","كويس","0.34958"
"جدع","فشخ","0.33899"
"جدع","جامد","0.34111"
"جدع","مين ده","0.33942"
"جدع","احسن","0.31858"
"جدع","عبيط","0.32972"
"جدع","يهديك","0.32904"
"يعجبن","استهبل","0.39045"
"يعجبن","يريحك","0.33713"
"يعجبن","حلو","0.36088"
"يعجبن","صح","0.31801"
"يعجبن","مشكلته","0.35250"
"يعجبن","معك حق","0.33533"
"يعجبن","اهم","0.36856"
"يعجبن","حلوه","0.35296"
"يعجبن","صراحه","0.32258"
"يعجبن","يعجبني","0.33564"
"يعجبن","احسن","0.32865"
"يعجبن","مشكله","0.31646"
"يعجبن","معاك حق","0.33341"
"اتمسح بيه الارض","بتضيع","0.36222"
"ينصرك","ينصره","0.72153"
"ينصرك","نفع","0.36808"
"ينصرك","الحمدالله","0.32295"
"ينصرك","شكر","0.34759"
"ينصرك","مبدع","0.31564"
"ينصرك","تحرسك","0.32774"
"ينصرك","حسبنا الله ونعم الوكيل","0.43248"
"ينصرك","يقويكي","0.67709"
"ينصرك","امان","0.33173"
"ينصرك","نشكرك","0.33072"
"ينصرك","يحمي","0.64990"
"ينصرك","يخاف","0.45386"
"ينصرك","صدق","0.37267"
"ينصرك","الحمد الله","0.35654"
"ينصرك","يمهل و لا يهمل","0.65000"
"ينصرك","يحرمنا","0.49465"
"ينصرك","يحيك","0.67295"
"ينصرك","يحيه","0.55612"
"ينصرك","يكرم","0.40150"
"ينصرك","يحفظ","0.51229"
"ينصرك","يكرمك","0.60375"
"ينصرك","يكرمه","0.41758"
"ينصرك","الحمد","0.39906"
"ينصرك","الف شكر","0.43093"
"ينصرك","يسعدنا","0.31638"
"ينصرك","يحظك","0.42116"
"ينصرك","شر البليه ما يضحك","0.38139"
"ينصرك","يعفو","0.57578"
"ينصرك","امانته","0.42639"
"ينصرك","حرم","0.43737"
"ينصرك","يقدرك","0.38943"
"ينصرك","تعصي","0.46717"
"ينصرك","موفق","0.45515"
"ينصرك","جزاك الله خيرا","0.41281"
"ينصرك","تكفل","0.37455"
"ينصرك","يحرم","0.42238"
"ينصرك","نعصي","0.42566"
"ينصرك","يفضحك","0.39950"
"ينصرك","مكروه","0.42748"
"ينصرك","يعصي","0.51208"
"ينصرك","ينصرهم","0.74441"
"ينصرك","يغضب","0.39515"
"ينصرك","خاف","0.39113"
"ينصرك","امين","0.43704"
"ينصرك","الى الامام","0.31514"
"ينصرك","حفظ","0.61228"
"ينصرك","نصر","0.39796"
"ينصرك","يصلح","0.49495"
"ينصرك","يقبل","0.33780"
"ينصرك","الخير","0.40339"
"ينصرك","حق","0.32495"
"ينصرك","حسبي الله ونعم الوكيل","0.47230"
"ينصرك","حبيب قلبي","0.33052"
"ينصرك","صالح","0.30556"
"ينصرك","احييك","0.30870"
"ينصرك","نحبك","0.45390"
"ينصرك","ربنا معاكم","0.30137"
"ينصرك","يخرب بيتك","0.45852"
"ينصرك","خلق","0.50937"
"ينصرك","روحك","0.32660"
"ينصرك","يعزك","0.66449"
"ينصرك","يلعن ابو","0.34840"
"ينصرك","تقبل","0.54912"
"ينصرك","خير","0.35962"
"ينصرك","تقصر","0.33128"
"ينصرك","غالي","0.33768"
"ينصرك","شر","0.35133"
"ينصرك","استاذ","0.33418"
"ينصرك","رحمه","0.43663"
"ينصرك","يحرسك","0.64335"
"ينصرك","ظالم","0.40764"
"ينصرك","الحمد لله","0.43032"
"ينصرك","يحرصك","0.33259"
"ينصرك","لافض فوك","0.30505"
"ينصرك","يحفظك","0.59554"
"ينصرك","يخلف","0.56329"
"ينصرك","يطهر","0.36709"
"ينصرك","اتق الله","0.35903"
"ينصرك","بارك الله فيك","0.36710"
"ينصرك","ياخدك","0.53976"
"ينصرك","حبيبي","0.34812"
"ينصرك","يرحمك","0.62216"
"ينصرك","حبيبتي","0.47405"
"ينصرك","يرحمه","0.69592"
"ينصرك","يشفيك","0.60345"
"ينصرك","بالسلامه","0.47728"
"ينصرك","يريح","0.32668"
"ينصرك","ربنا يوفقك","0.32284"
"ينصرك","اتقي الله","0.30577"
"ينصرك","عظم","0.48471"
"ينصرك","كريم","0.50510"
"ينصرك","عزو","0.33019"
"ينصرك","الشهداء","0.30154"
"ينصرك","رحم","0.63419"
"ينصرك","نستغفر","0.51432"
"ينصرك","سلامتك","0.32898"
"ينصرك","قدرته","0.35571"
"ينصرك","كرم","0.35969"
"ينصرك","يوفقك","0.51067"
"ينصرك","اعظم","0.30850"
"ينصرك","تشكر","0.32065"
"ينصرك","عظيم","0.33269"
"ينصرك","قاتل","0.45457"
"ينصرك","قادر","0.34700"
"ينصرك","مؤمن","0.31967"
"ينصرك","اتقي","0.58224"
"ينصرك","فرج","0.31539"
"ينصرك","يخليك","0.63618"
"ينصرك","يسامح","0.68339"
"ينصرك","نشكر","0.38858"
"ينصرك","يهدي","0.53582"
"ينصرك","يرحم","0.42150"
"ينصرك","بيض","0.39067"
"ينصرك","ينور","0.64469"
"ينصرك","فضل","0.52438"
"ينصرك","غضب","0.37185"
"ينصرك","تسلم ايدك","0.31376"
"ينصرك","ينصر","0.61290"
"ينصرك","قدر","0.50295"
"ينصرك","اعتراض","0.31185"
"ينصرك","يسعدك","0.56374"
"ينصرك","ربنا يكرمك","0.30546"
"ينصرك","سلام","0.33964"
"ينصرك","ينعم","0.42851"
"ينصرك","تسلمي","0.34695"
"ينصرك","قبح","0.51490"
"ينصرك","يخرب بيوتكم","0.58026"
"ينصرك","يشرف","0.37023"
"ينصرك","لعن","0.51878"
"ينصرك","ينتقم","0.61524"
"ينصرك","يشكر","0.38227"
"ينصرك","حرام","0.31341"
"ينصرك","يجبر","0.46497"
"ينصرك","يصبر","0.51875"
"ينصرك","ماشاء الله","0.47881"
"ينصرك","احسن","0.31806"
"ينصرك","يبارك","0.54950"
"ينصرك","يتوب","0.43644"
"ينصرك","يزيح","0.32439"
"ينصرك","يصبرك","0.73800"
"ينصرك","سلم","0.41556"
"ينصرك","يهديك","0.55712"
"ينصرك","اياكم","0.55128"
"ينصرك","يسعد","0.31949"
"ينصرك","الله اكبر","0.35829"
"ينصرك","ايمانك","0.33726"
"ينصرك","احسنت","0.30169"
"ينصرك","بالتوفيق","0.33889"
"ينصرك","شكرا","0.41680"
"ينصرك","يتمم","0.49666"
"ينصرك","يحميك","0.67764"
"ينصرك","نعترض","0.34606"
"ينصره","نفع","0.34936"
"ينصره","تحرسك","0.30573"
"ينصره","حسبنا الله ونعم الوكيل","0.39482"
"ينصره","يقويكي","0.60973"
"ينصره","امان","0.30635"
"ينصره","يحمي","0.60404"
"ينصره","يخاف","0.43971"
"ينصره","صدق","0.34306"
"ينصره","يمهل و لا يهمل","0.62355"
"ينصره","يحرمنا","0.43916"
"ينصره","يحيك","0.60781"
"ينصره","يحيه","0.52561"
"ينصره","يكرم","0.37899"
"ينصره","يحفظ","0.46200"
"ينصره","يكرمك","0.52034"
"ينصره","يكرمه","0.38252"
"ينصره","الحمد","0.33700"
"ينصره","الف شكر","0.34546"
"ينصره","يحظك","0.38793"
"ينصره","شر البليه ما يضحك","0.32185"
"ينصره","يعفو","0.55083"
"ينصره","امانته","0.40093"
"ينصره","حرم","0.40393"
"ينصره","يقدرك","0.32736"
"ينصره","تعصي","0.44120"
"ينصره","موفق","0.39838"
"ينصره","جزاك الله خيرا","0.34651"
"ينصره","تكفل","0.35999"
"ينصره","يحرم","0.39028"
"ينصره","نعصي","0.40414"
"ينصره","يفضحك","0.37383"
"ينصره","مكروه","0.39421"
"ينصره","يعصي","0.49738"
"ينصره","ينصرهم","0.68314"
"ينصره","يغضب","0.38236"
"ينصره","خاف","0.36106"
"ينصره","امين","0.38085"
"ينصره","حفظ","0.57820"
"ينصره","نصر","0.38102"
"ينصره","يصلح","0.46674"
"ينصره","يقبل","0.33976"
"ينصره","الخير","0.34669"
"ينصره","حق","0.30065"
"ينصره","حسبي الله ونعم الوكيل","0.42925"
"ينصره","نحبك","0.38238"
"ينصره","يخرب بيتك","0.40504"
"ينصره","خلق","0.46692"
"ينصره","يعزك","0.60438"
"ينصره","يلعن ابو","0.31382"
"ينصره","تقبل","0.50047"
"ينصره","خير","0.30022"
"ينصره","رحمه","0.42432"
"ينصره","يحرسك","0.56418"
"ينصره","ظالم","0.38450"
"ينصره","الحمد لله","0.36857"
"ينصره","يحفظك","0.50540"
"ينصره","يخلف","0.49955"
"ينصره","يطهر","0.35623"
"ينصره","اتق الله","0.30957"
"ينصره","بارك الله فيك","0.31433"
"ينصره","ياخدك","0.48432"
"ينصره","يرحمك","0.56814"
"ينصره","حبيبتي","0.40348"
"ينصره","يرحمه","0.64806"
"ينصره","يشفيك","0.52654"
"ينصره","بالسلامه","0.41568"
"ينصره","عظم","0.45038"
"ينصره","كريم","0.45862"
"ينصره","رحم","0.59778"
"ينصره","نستغفر","0.48686"
"ينصره","قدرته","0.30936"
"ينصره","كرم","0.33096"
"ينصره","يوفقك","0.39728"
"ينصره","عظيم","0.32153"
"ينصره","قاتل","0.43567"
"ينصره","مؤمن","0.31705"
"ينصره","اتقي","0.53487"
"ينصره","يخليك","0.55077"
"ينصره","يسامح","0.64178"
"ينصره","نشكر","0.34686"
"ينصره","يهدي","0.48941"
"ينصره","يرحم","0.38352"
"ينصره","بيض","0.36208"
"ينصره","ينور","0.58611"
"ينصره","فضل","0.48774"
"ينصره","غضب","0.34371"
"ينصره","ينصر","0.59040"
"ينصره","قدر","0.45232"
"ينصره","يسعدك","0.46421"
"ينصره","ينعم","0.41380"
"ينصره","قبح","0.49012"
"ينصره","يخرب بيوتكم","0.55125"
"ينصره","يشرف","0.32681"
"ينصره","لعن","0.49129"
"ينصره","ينتقم","0.56878"
"ينصره","يشكر","0.35173"
"ينصره","يجبر","0.41108"
"ينصره","يصبر","0.46682"
"ينصره","ماشاء الله","0.41624"
"ينصره","يبارك","0.47683"
"ينصره","يتوب","0.40353"
"ينصره","يصبرك","0.62158"
"ينصره","سلم","0.37734"
"ينصره","يهديك","0.49702"
"ينصره","اياكم","0.51758"
"ينصره","الله اكبر","0.31874"
"ينصره","شكرا","0.34420"
"ينصره","يتمم","0.41649"
"ينصره","يحميك","0.58236"
"نفع","يقويكي","0.31928"
"نفع","يحمي","0.33771"
"نفع","يمهل و لا يهمل","0.34791"
"نفع","يحيك","0.35308"
"نفع","يحيه","0.32722"
"نفع","يعفو","0.31373"
"نفع","ينصرهم","0.35035"
"نفع","حفظ","0.33517"
"نفع","يصلح","0.31282"
"نفع","يعزك","0.35827"
"نفع","يحرسك","0.30407"
"نفع","يرحمك","0.32505"
"نفع","يرحمه","0.37308"
"نفع","رحم","0.34414"
"نفع","اتقي","0.34159"
"نفع","يخليك","0.30528"
"نفع","يسامح","0.37441"
"نفع","ينور","0.33689"
"نفع","يخرب بيوتكم","0.32334"
"نفع","ينتقم","0.31177"
"نفع","يصبرك","0.31714"
"نفع","يهديك","0.30425"
"الحمدالله","غريب","0.30326"
"الحمدالله","نشكرك","0.38334"
"الحمدالله","صدق","0.37693"
"الحمدالله","الحمد الله","0.63297"
"الحمدالله","استهبل","0.40722"
"الحمدالله","يحيك","0.32212"
"الحمدالله","يكرمك","0.32331"
"الحمدالله","الحمد","0.67489"
"الحمدالله","الف شكر","0.34204"
"الحمدالله","شر البليه ما يضحك","0.30451"
"الحمدالله","جميل","0.31467"
"الحمدالله","ينصرهم","0.30837"
"الحمدالله","حاقد","0.30232"
"الحمدالله","سخافه","0.30248"
"الحمدالله","حلو","0.41655"
"الحمدالله","اسكت","0.33327"
"الحمدالله","يصلح","0.32751"
"الحمدالله","مخرب","0.32755"
"الحمدالله","الخير","0.37497"
"الحمدالله","حب","0.31089"
"الحمدالله","حق","0.39729"
"الحمدالله","حسبي الله ونعم الوكيل","0.39622"
"الحمدالله","حبيب قلبي","0.33550"
"الحمدالله","احييك","0.36907"
"الحمدالله","ما شاء الله","0.31148"
"الحمدالله","خلق","0.33371"
"الحمدالله","خلص","0.32002"
"الحمدالله","هبله","0.32663"
"الحمدالله","بايخ","0.30401"
"الحمدالله","حمد الله","0.39263"
"الحمدالله","خير","0.37134"
"الحمدالله","غالي","0.35421"
"الحمدالله","صح","0.38542"
"الحمدالله","مشكلته","0.33845"
"الحمدالله","الحمد لله","0.73173"
"الحمدالله","اخس","0.31364"
"الحمدالله","صعبه","0.32126"
"الحمدالله","اسف","0.30976"
"الحمدالله","طيب","0.39113"
"الحمدالله","معك حق","0.35325"
"الحمدالله","معفن","0.32467"
"الحمدالله","يخلف","0.36548"
"الحمدالله","حبيبي","0.39658"
"الحمدالله","حبيبتي","0.40723"
"الحمدالله","هي ناقصه","0.33304"
"الحمدالله","ربنا يوفقك","0.31830"
"الحمدالله","تشرف","0.30040"
"الحمدالله","امل","0.31029"
"الحمدالله","يتطاول","0.34263"
"الحمدالله","اهم","0.38134"
"الحمدالله","متفائل","0.30102"
"الحمدالله","حلوه","0.40332"
"الحمدالله","اي كلام","0.32593"
"الحمدالله","سلامتك","0.38726"
"الحمدالله","افضل","0.32830"
"الحمدالله","يوفقك","0.34624"
"الحمدالله","كويس","0.37148"
"الحمدالله","تصدق","0.32410"
"الحمدالله","صراحه","0.37821"
"الحمدالله","قادر","0.38001"
"الحمدالله","تتريق","0.31404"
"الحمدالله","يخليك","0.33393"
"الحمدالله","استهبال","0.33353"
"الحمدالله","صحيح","0.30724"
"الحمدالله","خايف","0.34551"
"الحمدالله","قدر","0.34222"
"الحمدالله","عيب","0.34911"
"الحمدالله","اعتراض","0.30312"
"الحمدالله","يسعدك","0.34598"
"الحمدالله","واضح","0.32394"
"الحمدالله","امانه","0.31070"
"الحمدالله","ربنا يكرمك","0.30215"
"الحمدالله","سلام","0.30333"
"الحمدالله","تسلمي","0.36759"
"الحمدالله","توافق","0.31955"
"الحمدالله","معاناه","0.31480"
"الحمدالله","مين ده","0.31331"
"الحمدالله","حبيب","0.30220"
"الحمدالله","حرام","0.36592"
"الحمدالله","غلط","0.30519"
"الحمدالله","تتطاول","0.30291"
"الحمدالله","ماشاء الله","0.36473"
"الحمدالله","احسن","0.42574"
"الحمدالله","يبارك","0.30154"
"الحمدالله","يصبرك","0.35819"
"الحمدالله","يهديك","0.36939"
"الحمدالله","مشكله","0.35985"
"الحمدالله","لسع","0.31585"
"الحمدالله","اعترض","0.38508"
"الحمدالله","احلف","0.30247"
"الحمدالله","حمدالله","0.53420"
"الحمدالله","شكرا","0.41627"
"الحمدالله","اقدر","0.35729"
"الحمدالله","معاك حق","0.36803"
"الحمدالله","نعترض","0.30784"
"نفر","غوغاء","0.39704"
"ندعم","ضد","0.33527"
"ندعم","يدعم","0.30167"
"جرح","ينزف","0.30924"
"تخطيء","تخطئ","0.46559"
"يكفل","كفل","0.41263"
"الله يحرقك","مش فاهم حاجه","0.31328"
"الله يحرقك","مش كفايه","0.30500"
"الله يحرقك","لسه فاكر","0.32618"
"الله يحرقك","اهبل","0.30146"
"يكفر","يخاف","0.35635"
"يكفر","يحرم","0.30783"
"يكفر","حق","0.30424"
"يكفر","يسب","0.32302"
"الطاغيه","انصر","0.34900"
"الطاغيه","عجل","0.35107"
"الطاغيه","تنصر","0.32371"
"جثث","الانقاض","0.32892"
"شكر","نشكرك","0.35369"
"شكر","الحمد الله","0.30111"
"شكر","يحيك","0.30004"
"شكر","يكرمك","0.30123"
"شكر","الحمد","0.33618"
"شكر","الف شكر","0.59840"
"شكر","ينصرهم","0.30164"
"شكر","الخير","0.31049"
"شكر","احييك","0.32296"
"شكر","مبروك","0.54661"
"شكر","خير","0.34794"
"شكر","عافيه","0.50281"
"شكر","الحمد لله","0.35684"
"شكر","يخلف","0.31020"
"شكر","سلامتك","0.36086"
"شكر","يوفقك","0.30558"
"شكر","يسعدك","0.30006"
"شكر","يبارك","0.31111"
"شكر","يصبرك","0.33414"
"شكر","شكرا","0.40801"
"شكر","يتمم","0.30934"
"يجتهد","يخاف","0.31686"
"يجتهد","يصدق","0.30440"
"يجتهد","حق","0.31552"
"يجتهد","يحترم","0.30224"
"نلم","نولع","0.38393"
"حافظ مش فاهم","بيحب","0.30493"
"حافظ مش فاهم","مش فاهم حاجه","0.33490"
"حافظ مش فاهم","حق","0.30201"
"حافظ مش فاهم","مش كفايه","0.34316"
"حافظ مش فاهم","اهبل","0.30019"
"حافظ مش فاهم","طيب","0.30684"
"جمال","حب","0.30228"
"جمال","حق","0.30022"
"جمال","هي ناقصه","0.31393"
"ترهيب","تخويف","0.31562"
"مبدع","يحيك","0.31952"
"مبدع","يكرمك","0.30885"
"مبدع","رائع","0.36766"
"مبدع","الف شكر","0.31416"
"مبدع","جميل","0.36785"
"مبدع","حلو","0.30612"
"مبدع","الى الامام","0.30234"
"مبدع","الخير","0.30487"
"مبدع","حق","0.32732"
"مبدع","حبيب قلبي","0.36017"
"مبدع","متواضع","0.33023"
"مبدع","خير","0.31999"
"مبدع","صح","0.36653"
"مبدع","روعه","0.35637"
"مبدع","استاذ","0.34031"
"مبدع","الابداع","0.34106"
"مبدع","طيب","0.32045"
"مبدع","حبيبي","0.34803"
"مبدع","محترم","0.32013"
"مبدع","يوفقك","0.32392"
"مبدع","ابداع","0.36320"
"مبدع","صراحه","0.37430"
"مبدع","يخليك","0.31649"
"مبدع","تسلم ايدك","0.31289"
"مبدع","يسعدك","0.30204"
"مبدع","مميز","0.36039"
"مبدع","ماشاء الله","0.40604"
"مبدع","احسن","0.31277"
"مبدع","يصبرك","0.30981"
"مبدع","يهديك","0.32445"
"مبدع","شكرا","0.31555"
"مبدع","يحميك","0.30392"
"المظاهرات","حق","0.30760"
"المظاهرات","ضد","0.35119"
"جحش","حق","0.31061"
"جحش","اهبل","0.31011"
"جحش","طيب","0.32238"
"جحش","حمار","0.32428"
"جحش","غبي","0.30093"
"جحش","احسن","0.30540"
"جحش","كلب","0.33068"
"تحرسك","يمهل و لا يهمل","0.30947"
"تحرسك","يحيك","0.31911"
"تحرسك","ينصرهم","0.31490"
"تحرسك","تكرم","0.30303"
"تحرسك","يعزك","0.30095"
"تحرسك","يحرسك","0.35039"
"تحرسك","يرحمه","0.31430"
"تحرسك","رحم","0.32404"
"تحرسك","يسامح","0.31540"
"تحرسك","يحميك","0.32428"
"القمر","قمر","0.31561"
"يخدك","يقويكي","0.47811"
"يخدك","يحمي","0.31577"
"يخدك","يكرمك","0.50595"
"يخدك","يكرمه","0.66570"
"يخدك","يقدرك","0.32495"
"يخدك","ربنا يخدك","0.44650"
"يخدك","يحرصك","0.30896"
"يخدك","ياخدك","0.65991"
"يخدك","يوفقك","0.33181"
"يخدك","يخليك","0.44020"
"يخدك","يهدي","0.51822"
"يخدك","يسعدك","0.41485"
"يخدك","ينتقم","0.33850"
"يخدك","يبارك","0.42697"
"يخدك","يصبرك","0.35513"
"يخدك","يهديك","0.47926"
"يخدك","ربنا يكتر من","0.43083"
"يخدك","يحميك","0.36067"
"تبضن","بتفهم","0.31071"
"تبضن","تتريق","0.40404"
"نقي","سعاده","0.34460"
"نقي","تفاؤل","0.35103"
"قحاب","شرموطه","0.42099"
"قحاب","جنس","0.49785"
"قحاب","كس","0.35673"
"قحاب","طيز","0.43423"
"قحاب","سحاق","0.42652"
"قحاب","شراميط","0.42523"
"قحاب","انجاس","0.48955"
"نكد","طيب","0.30766"
"نكد","تتريق","0.32289"
"يخدع","يحترم","0.35853"
"تفهمك","نشكرك","0.30901"
"تفهمك","بتفهم","0.35682"
"تفهمك","احييك","0.30911"
"تفهمك","تتريق","0.35903"
"تفهمك","شكرا","0.34620"
"اضربو","اضرب","0.35562"
"يخطئ","يخطيء","0.34381"
"حسبنا الله ونعم الوكيل","يقويكي","0.30910"
"حسبنا الله ونعم الوكيل","يحمي","0.39511"
"حسبنا الله ونعم الوكيل","يخاف","0.34224"
"حسبنا الله ونعم الوكيل","صدق","0.30809"
"حسبنا الله ونعم الوكيل","يمهل و لا يهمل","0.36832"
"حسبنا الله ونعم الوكيل","يحيك","0.34315"
"حسبنا الله ونعم الوكيل","يحيه","0.30966"
"حسبنا الله ونعم الوكيل","يحفظ","0.36300"
"حسبنا الله ونعم الوكيل","يكرمك","0.31092"
"حسبنا الله ونعم الوكيل","الحمد","0.38024"
"حسبنا الله ونعم الوكيل","شر البليه ما يضحك","0.35235"
"حسبنا الله ونعم الوكيل","يعفو","0.31734"
"حسبنا الله ونعم الوكيل","حسد","0.30402"
"حسبنا الله ونعم الوكيل","حرم","0.37180"
"حسبنا الله ونعم الوكيل","يحرم","0.31654"
"حسبنا الله ونعم الوكيل","مكروه","0.33591"
"حسبنا الله ونعم الوكيل","ينصرهم","0.46447"
"حسبنا الله ونعم الوكيل","حاقد","0.30029"
"حسبنا الله ونعم الوكيل","امين","0.41609"
"حسبنا الله ونعم الوكيل","حفظ","0.37857"
"حسبنا الله ونعم الوكيل","نصر","0.30292"
"حسبنا الله ونعم الوكيل","يصلح","0.33643"
"حسبنا الله ونعم الوكيل","انصر","0.35375"
"حسبنا الله ونعم الوكيل","الخير","0.34255"
"حسبنا الله ونعم الوكيل","حق","0.33873"
"حسبنا الله ونعم الوكيل","حسبي الله ونعم الوكيل","0.47148"
"حسبنا الله ونعم الوكيل","ارحمنا","0.31637"
"حسبنا الله ونعم الوكيل","وهم","0.30841"
"حسبنا الله ونعم الوكيل","خلق","0.33850"
